x,y,z
6.9131926e-18,-1.2178363,0.5620908
0.6339415,0.68628466,-0.26445302
-0.6526814,0.15489122,-0.31654766
-0.014055663,-0.29983777,-1.1341534
-0.562711,0.21004453,-0.29862583
-0.54933316,-0.27826872,-0.20828225
1.6314293,-0.8985266,-0.19860987
-8.793484e-06,0.023961006,0.3164861
0.09381832,0.48974946,0.029700939
-0.5943201,0.7030215,-0.7672069
0.046219394,0.02152469,0.03781218
0.2887592,-0.06512241,-0.14847906
0.07886258,0.34934163,0.322459
-0.058106955,0.19380817,0.2640722
-0.077262245,-0.38508043,-0.35864323
0.14592233,-0.12635413,0.0046857386
-1.2303418,0.7632597,-0.69129217
0.41055542,-0.016106931,0.00046577354
0.12964779,0.42883474,-0.20187287
1.7508847,-0.81044316,-0.07207053
0.3835205,-0.61260295,-0.26528022
-0.32162544,-0.040282454,-0.22356679
1.2464734,-0.13240442,-1.1922666e-18
0.04305883,-0.38574618,0.065480664
0.115538314,0.90015155,0.022497289
0.2186868,-0.33955428,-0.71664584
0.68113357,0.017737743,-0.73380053
0.66446924,0.41821995,-0.081696965
0.06552154,-0.43588147,0.2083205
0.16684785,-0.39032698,0.013429453
-0.062567525,-0.3939511,-0.05978854
-0.13595554,0.7021653,0.16491146
-0.88648224,-0.87220025,-0.35646576
-0.081412755,-0.22910286,0.8813106
0.287303,-0.02281062,-0.34872746
-0.6631113,-0.32039726,-0.034987886
1.0491369e-17,0.6670939,1.1603163
-0.82750857,-0.43704772,-0.7208166
-0.46076292,1.9031347,0.34672502
0.7894068,-0.3081896,-0.716467
-0.6080658,-0.18087213,-0.013004952
0.11015393,0.26262262,0.08630505
-1.3044647,0.579905,-0.4429678
0.08477978,-0.5498416,0.13835217
0.05764566,-0.28958026,0.07330476
0.0068308045,-0.016340204,0.0006863246
-1.0198689e-13,0.21447976,0.2737838
-0.6636661,0.6163157,-1.798614
3.0032493e-17,1.2779331,0.7552604
-0.045984223,-0.09916203,0.628747
-0.5092059,-0.4975706,-0.7674749
0.14972101,-0.108812615,0.74070513
0.017042495,-0.7012252,-0.24586523
-0.32999405,0.53251517,-0.4372045
0.17226036,-0.054624908,0.08585439
0.57543916,-0.379005,-0.22594754
0.00092726696,-0.090642974,0.07855013
0.032757588,-0.610119,0.026287513
-0.3219997,0.22678393,0.27102605
0.45735806,-0.57019687,-0.21874039
-8.213806e-18,-0.08803739,1.1886132
0.21301949,-0.27314118,0.18987438
0.059581295,0.39503574,0.16059883
-5.464418e-17,-1.2700195,0.55744106
0.70893353,-0.09246034,-0.06796099
-0.6547968,0.23135576,-0.26219735
-5.337143e-17,1.2881565,0.7295819
-1.1348177e-18,-1.2371444,0.6774112
1.5771904e-17,0.374565,0.7385286
-0.45264062,-0.6944529,0.23045811
-0.3323046,-0.030098319,-1.1223233
-0.6984904,-0.21106279,0.86054945
